RepRapFirmware height map file v2 generated at 2020-02-04 10:20
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.306,  0.187,  0.094,  0.021, -0.016, -0.024, -0.001,  0.045
  0.238,  0.137,  0.060,  0.011, -0.008, -0.002,  0.032,  0.081
  0.192,  0.101,  0.039,  0.004,  0.000,  0.020,  0.071,  0.139
  0.146,  0.069,  0.024, -0.001,  0.004,  0.046,  0.119,  0.213
  0.112,  0.043,  0.005, -0.009,  0.007,  0.068,  0.175,  0.302
